32334 ,	,+CLB
18437 .	.+CLB
6334 êkwa	êkwa+Ipc
4473 ;	;+CLB
3214 awa	awa+Pron+Dem+Prox+A+Sg
3014 :	:+CLB
2780 !	!+CLB
2628 ]	]+PUNCT+RIGHT
2627 [	[+PUNCT+LEFT
1999 mâna	mâna+Ipc
1997 êkosi	êkosi+Ipc
1806 itwêw	itwêw+V+AI+Ind+3Sg
1760 '	'+PUNCT
1710 `	`+PUNCT
1566 êkota	êkota+Ipc
1467 -	-+PUNCT
1457 mân	mân+?
1321 mîna	mîna+Ipc
1300 ôhi	ôma+Pron+Dem+Prox+I+Pl
1238 ~	~+PUNCT
1110 itêw	itêw+V+TA+Ind+3Sg+4Sg/PlO
1099 ôma	ôma+Ipc
1016 namôya	namôya+Ipc
 975 mistahi	mistahi+Ipc
 939 êwako	êwako+?
 935 ôma	ôma+Pron+Dem+Prox+I+Sg
 918 kîkway	kîkway+N+I+Sg
 901 )	)+PUNCT+RIGHT
 899 (	(+PUNCT+LEFT
 896 aya	aya+Ipc
 873 môy	môy+Ipc
 861 âha	âha+Ipc
 855 «	«+PUNCT+LEFT
 853 »	»+PUNCT+RIGHT
 853 tâpwê	tâpwê+Ipc
 792 êsa	êsa+Ipc
 790 ?	?+CLB
 754 mâka	mâka+Ipc
 711 êkos	êkos+?
 702 mitoni	mitoni+Ipc
 694 pêyak	pêyak+Ipc
 693 kahkiyaw	kahkiyaw+Ipc
 687 êwakw	êwakw+?
 662 âya	âya+?
 641 A	A+?
 640 –	–+PUNCT
 639 R	R+?
 633 ôta	ôta+Ipc
 612 ana	awa+Pron+Dem+Med+A+Sg
 605 iyikohk	iyikohk+Ipc
 601 kîtahtawê	kîtahtawê+Ipc
 588 piko	piko+Ipc
 582 êkâ	êkâ+Ipc
 576 êkotê	êkotê+Ipc
 557 ohci	ohci+Ipc
 541 ôm	ôm+?
 476 ita	ita+Ipc
 462 itik	itêw+V+TA+Ind+4Sg/Pl+3SgO
 458 anima	ôma+Pron+Dem+Med+I+Sg
 458 F	F+?
 457 ômisi	ômisi+?
 456 â	â+Ipc
 456 iskwêw	iskwêw+N+A+Sg
 449 sic	sic+?
 440 piyisk	piyisk+Ipc
 434 âsay	âsay+Ipc
 430 ânima	ânima+?
 430 mîn	mîn+?
 412 ôki	awa+Pron+Dem+Prox+A+Pl
 403 wiya	wiya+Ipc
 403 kayâs	kayâs+Ipc
 393 kêkway	kêkway+?
 374 ôki	ôki+Ipc
 362 êtikwê	êtikwê+Ipc
 361 oskinîkiw	oskinîkiw+N+A+Sg
 357 FA	FA+?
 355 hâw	hâw+Ipc
 343 ôtê	ôtê+Ipc
 334 êkoni	êkoni+?
 318 *	*+PUNCT
 317 niya	niya+Pron+Pers+1Sg
 315 anima	anima+Ipc
 314 mâk	mâk+?
 309 tânisi	tânisi+Ipc
 306 ês	ês+?
 298 êkoyikohk	êkoyikohk+Ipc
 297 wiy	wiy+?
 296 ahpô	ahpô+Ipc
 295 tâpiskôc	tâpiskôc+Ipc
 291 âsay_mîna	Iph+Ipt
 291 nâpêw	nâpêw+N+A+Sg
 291 itêyihtam	itêyihtam+V+TI+Ind+3Sg
 286 nama	nama+Ipc
 283 kisêyiniw	kisêyiniw+N+A+Sg
 279 miton	miton+?
 271 ayisk	ayisk+Ipc
 268 êwak	êwak+?
 268 anohc	anohc+Ipc
 263 âwa	âwa+?
 262 êkw	êkw+?
 257 anim	anim+?
 256 owîkimâkana	niwîkimâkan+N+A+D+Px3Sg+Obv
 248 wîsahkêcâhk	wîsahkêcâhk+N+A+Sg
 248 namôy	namôy+Ipc
 245 kêtahtawê	kêtahtawê+Ipc
 244 osâm	osâm+Ipc
 239 nânitaw	nânitaw+Ipc
 235 êkwa_mîna	Iph
 230 cî	cî+Ipc
 227 ânim	ânim+?
 225 kwayask	kwayask+Ipc
 225 kotak	kotak+?
 224 ôh	ôh+Ipc
 223 êhaq	êhaq+?
 220 tânis	tânis+?
 219 âna	âna+?
